Resp#,Response,Who,How,model1
1,theory is the human,0,0,0
2,Race,0,0,0
3,Not sure,0,0,0
4,Not sure,0,0,0
5,an old and well tested theory that has since been surpassed by more comprehensive lenses of study,0,1,1
6,the history of racism in the US,0,0,0
7,A theory that blacks have it so bad.,1,1,2
8,A framework of legal analysis that views racial subjugation as indivisible and integral to US legal and political tradition,0,0,0
9,not sure what it means,0,0,0
10,Republican fearmongering,1,1,2
11,Racism and hatred of the US,0,1,1
12,That there is a lack of equality and representation for all,0,0,0
13,Irrelevant,0,1,1
14,Teaching kids about how bad blacks was treated in the pass.,1,1,2
15,"Saying that all the problems in the world are caused by Whites. This just ticks me off. There were just as many black slave owners back in the civil war, as whites. CRT is just another way to divide us so the gov't can control us.",1,1,2
16,Deepening understanding of the institutionalization of racism,0,1,1
17,Accurate representation of facts related to racial discrimination,0,1,1
18,i am not sure,0,0,0
19,A theory that proposes that laws/history have intentionally subjugated persons of color.,0,0,0
20,An approach to understanding race relations used in law schools and graduate school which analyzes how institutional racism affects various aspects of society.,0,0,0
21,Useless discussion,0,1,1
22,Teaching children to judge people by the color of their skin and NOT by the content of their character.,1,1,2
23,A theory that holds that certain people are disadvantaged forever because of the actions of caucasian people.,1,1,2
24,It is a theory that is taught in universities but not in elementary or high school class rooms.,0,0,0
25,Racism is embedded in US. Laws.,0,0,0
26,Part of a GRADUATE-LEVEL PROGRAM teaching the history of racial inequality and discrimination in the United States.,0,1,1
27,It is a bunch of crap. None or very little of the theory is true,0,1,1
28,It’s a way to understand the historical effects of racial inequality and how it affects preset day people of color.,0,0,0
29,Teaching the real history of the White suppression of minorities.,1,1,2
30,It shows that some racial groups have been treated in a way that has placed them at a disadvantage to other groups,0,0,0
31,Get off the soapbox of CRT... let's move on,0,1,1
32,No,0,0,0
33,The teaching that America is inherently racist and was founded as such. That white people are privileged and are racist due to their color. That all black people are victims.,1,1,2
34,Teaching true history not white history,1,1,2
35,Teaching that white people are evil.,1,1,2
36,A theory that white supremacists excel while black & brown people fail more consistently. People of color suffer from a lack of priviledge.,1,1,2
37,its about racism,0,0,0
38,the facts of our history instead of stories that make white people look better,1,1,2
39,"Can’t say, don’t know enough",0,0,0
40,says that blacks deserve retribution for all the wrongs done to them in the past.,1,0,1
41,A way to blame white people for all black peoples problems.,1,1,2
42,learning how embedded systems lead to racist policies which have kept black people from succeeding in America.,1,0,1
43,"The discussion of the effects amd consequences racial inequity taught at the university level, not K-12",0,1,1
44,"Racism is embedded in societal policies, beliefs, legal systems and racism is allowed to go on to hold persons of color back in society of USA",0,0,0
45,The country was founded and/or flourished on racists beliefs; systemic racism exists throughout society with people of color having fewer rights or opportunities than Caucasians.,1,0,1
46,"CRT is a theory that racism is caused by bias and is also embedded in institutions, legal practices and public policies.",0,0,0
47,"it is an academic theory that race has effected rules, regulation and society as one race is favored over another,",0,0,0
48,Project 1619 shows that the slaves were brought to Va. in 1619. Slavery is bad and should be outlawed.,1,1,2
49,Disparagy between races,0,0,0
50,Its a BIG LIE,0,1,1
51,"Teaching the big picture of our past, including what the black people have had to endure. And what they still have to endure. Simply teaching history as it really was, not how white people wanted it to be.",1,1,2
52,Too complicated,0,1,1
53,CRT teaches kids to be racist. CRT wants people to see color not the person. This is garbage and is destroying public education.,1,1,2
54,It is the study of how racism is part of society.,0,0,0
55,It's part of history and should be taught,0,1,1
56,That certain people of color or origin are treated unfairly overall.,0,0,0
57,I don’t know,0,0,0
58,its history. get over it,0,1,1
59,The basic facts about how race affects one’s opportunities in life,0,1,1
60,Racism,0,1,1
61,It is a theory that does nothing but add strife to a problem that is being worked on by many facets of society. I believe it fosters hate and resentment.,0,1,1
62,graduate level course teaching about structural racism in our legal system,0,1,1
63,People want an all white world,1,1,2
64,don't know,0,0,0
65,It's a bunch of B.S!,0,1,1
66,teaching institutional racism and racism in general,0,0,0
67,Discussion about the history of slavery in the U.S. and the continuing challenges racial attitudes effect society,0,0,0
68,"needs a name change,maybe history makeover?As all it is would be adding where blacks were dimiscrated against by whites in history.The bringing from Africa as slaves,Burning Black wall street in Okaloma",1,1,2
69,"teaching at a high level about endemic, institutional racism - usually college/graduate school",0,0,0
70,A legal theory taught in college - NOT grade school - dealing with the impact of bigotry in justice.,0,1,1
71,Racism and lack of progress is more due to procedures and ideas promoted by state and federal governments than due to implicit bias people have.,0,0,0
72,Analyzing social norms by race.,0,0,0
