cowcode,stateabb,statename,relevance,from,to,group,size,status,warid,warid2,groupid,cowgroupid
2,USA,United States of America,Yes,1946,1965,Whites,0.691,MONOPOLY,,,1000,201000
2,USA,United States of America,Yes,1946,1965,Latinos,0.125,IRRELEVANT,,,2000,202000
2,USA,United States of America,Yes,1946,1965,African Americans,0.121,DISCRIMINATED,,,3000,203000
2,USA,United States of America,Yes,1946,1965,Asian Americans,0.036,IRRELEVANT,,,4000,204000
2,USA,United States of America,Yes,1946,1965,American Indians,0.0078,IRRELEVANT,,,5000,205000
2,USA,United States of America,Yes,1946,1965,Arab Americans,0.0042,IRRELEVANT,,,6000,206000
2,USA,United States of America,Yes,1966,2005,Whites,0.691,DOMINANT,,,1000,201000
2,USA,United States of America,Yes,1966,2005,Latinos,0.125,POWERLESS,,,2000,202000
2,USA,United States of America,Yes,1966,2005,African Americans,0.124,POWERLESS,,,3000,203000
2,USA,United States of America,Yes,1966,2005,Asian Americans,0.036,POWERLESS,,,4000,204000
2,USA,United States of America,Yes,1966,2005,American Indians,0.0078,POWERLESS,,,5000,205000
2,USA,United States of America,Yes,1966,2005,Arab Americans,0.0042,POWERLESS,,,6000,206000
20,CAN,Canada,Yes,1946,1981,English speakers,0.59,SENIOR PARTNER,,,1000,2001000
20,CAN,Canada,Yes,1946,1981,French speakers,0.28,JUNIOR PARTNER,,,2000,2002000
20,CAN,Canada,Yes,1946,1981,Aboriginal peoples,0.02,POWERLESS,,,4000,2004000
20,CAN,Canada,Yes,1982,2005,English speakers,0.59,SENIOR PARTNER,,,1000,2001000
20,CAN,Canada,Yes,1982,2005,French speakers,0.23,JUNIOR PARTNER,,,2000,2002000
20,CAN,Canada,Yes,1982,2005,Aboriginal peoples,0.028,REGIONAL AUTONOMY,,,4000,2004000
40,CUB,Cuba,Yes,1946,1959,Whites,0.67,DOMINANT,,,1000,4001000
40,CUB,Cuba,Yes,1946,1959,Blacks,0.33,POWERLESS,,,2000,4002000
40,CUB,Cuba,No,1960,2005,Whites,0.67,IRRELEVANT,,,1000,4001000
40,CUB,Cuba,No,1960,2005,Blacks,0.33,IRRELEVANT,,,2000,4002000
41,HAI,Haiti,Yes,1946,1956,Blacks,0.95,JUNIOR PARTNER,,,1000,4101000
