"","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Time_Perspective","Indulgence","Country_Final","CPI Score 2018","GDP_per_Capita","Homicides_per_100K","Gov_Exp_Employees","Gov_Exp_GoodsAndServices","Gov_Exp_Total","Gov_Exp_Interest","Gov_Exp_Subsidies","Gov_Exp_Military","Wage_Workers","Vulnerable_Employment","WGI_Control_Corruption","WGI_Government_Effectiveness","WGI_Political_Stability","WGI_Regulatory_Quality","WGI_Rule_of_Law","WGI_Voice_Accountability","Gov_Confidence","Gov_Confidence_Mean"
"1",NA,NA,NA,NA,61,15,"Albania",36,13653.2015701651,2.25622918845519,93528830000,36600400000,391686720000,35048620000,208649820000,2.1702e+10,45.7299995422363,51.2000007629394,-0.543374061584473,-0.033333245664835,0.111168630421162,0.285658627748489,-0.402843326330185,0.142711371183395,0.148174157303371,3.39115168539326
"2",NA,NA,NA,NA,NA,65,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23104310035706,1.90103769302368,1.60220229625702,1.22653388977051,1.57228696346283,1.11008703708649,0.490963855421687,2.55823293172691
"3",49,46,56,86,20,62,"Argentina",40,22066.1010083881,5.14284342520518,552193278094.08,173624532003.61,4750722433014.26,750462180135.65,3046866285400.1,151355500000,73.4899978637695,22.7099996209145,-0.0836628600955009,-0.0965068936347961,-0.0914442017674446,-0.436932802200317,-0.408074647188187,0.572384655475616,0.313705583756345,2.93502538071066
"4",NA,NA,NA,NA,61,NA,"Armenia",35,13653.7633812861,2.4681106579104,301264320629,205831841759,1423727402617,157552704410,543684219601,3.235e+11,66.0299987792969,33.0700008869171,-0.203820124268532,-0.197479233145714,-0.413424372673035,0.255927443504334,-0.157182589173317,0.055480632930994,0.308071239105722,2.97385373247442
"5",38,90,61,51,21,71,"Australia",77,49309.1123989414,0.892743778567801,5.3658e+10,5.368e+10,5.08569e+11,1.7966e+10,3.41249e+11,3.7262e+10,83.4199981689453,10.6100000739097,1.8221447467804,1.56487631797791,0.911745727062225,1.87215864658356,1.72611081600189,1.26739799976349,0.312917594654788,2.8173719376392
"6",11,55,79,70,60,63,"Austria",76,55833.559903835,0.859844459720642,18854090000,10821140000,173007900000,5628280000,128614780000,2.892e+09,87.8399963378906,7.37000000476837,1.55429518222809,1.52114546298981,0.91674792766571,1.45756649971008,1.89534270763397,1.33874893188477,0.401634192331867,2.71087366436204
"7",NA,NA,NA,NA,61,22,"Azerbaijan",25,14442.0408668016,1.67202128164611,3144500000,1577500000,19887950000,634800000,7418850000,3152200000,32.1500015258789,54.1599998474122,-0.8299640417099,-0.0864946097135544,-0.685912430286407,-0.214039906859398,-0.591070115566254,-1.52944147586823,0.926159129937035,1.67658843732112
"8",80,20,55,60,47,20,"Bangladesh",26,5550.03277751273,NA,5.61967e+11,414987100000,2441514884000,500903390000,883454204000,3.68002e+11,40.7299995422363,53.8600006103516,-0.994909584522247,-0.731802582740784,-0.932975292205811,-0.931169450283051,-0.631936311721802,-0.74178558588028,0.82055602358888,1.8904802021904
"9",NA,NA,NA,NA,81,15,"Belarus",44,19279.209247881,2.38034558174535,5294783673.2,5229216513.11,38517681614.65,2163204683.3,24882785882.74,1.6313e+10,95.7300033569336,3.38999989442528,0.0324118658900261,-0.129739582538605,0.332389116287231,-0.663383305072784,-0.836098074913025,-1.4079213142395,0.560573476702509,2.45878136200717
"10",NA,NA,NA,NA,70,44,"Bosnia and Herzegovina",38,14896.7965119383,1.27234248551499,3286068776.92,2251671916.99,12185527446.5564,220450104.621365,5612546588.48,319996000,75.0999984741211,19.069999217987,-0.625312626361847,-0.669898688793182,-0.418754309415817,-0.112791009247303,-0.201782420277596,-0.243082657456398,0.17867603983597,3.24663151728178
"11",69,38,49,76,44,59,"Brazil",35,14736.1560621677,20.8827768046228,305740330097.163,63040329937.204,2570490461736.22,511686548962.994,1584856395279.38,106274700000,66.9199981689453,28.3300004005432,-0.386171013116837,-0.206858992576599,-0.713788211345673,-0.109311006963253,-0.203433260321617,0.302300244569778,0.230232558139535,3.29011627906977
"12",70,30,40,85,69,16,"Bulgaria",42,23265.8769207936,1.18569446767818,7795440000,3133804000,38825643000,637119000,18097509000,3.716e+09,89.1699981689453,7.27999985218048,-0.157977610826492,0.20231106877327,0.578860998153687,0.543415307998657,-0.0140076251700521,0.355631977319717,0.216161616161616,3.02289562289562
"13",39,80,52,48,36,68,"Canada",81,49171.5110858739,1.83635642507433,4.3776e+10,2.964e+10,4.18689e+11,2.5824e+10,2.99398e+11,29456250000,84.7699966430664,10.8399995416403,1.76385736465454,1.7242956161499,1.01676774024963,1.71465253829956,1.7518424987793,1.43186473846436,0.482827277252364,2.58685913389746
