"","Country_Final","WGI_Voice_Accountability","GDP_per_Capita_PP","GDP_per_Capita","Homicides_per_100K","Unemployment","CPI.Score.2018","Gov_Confidence","Gov_Confidence_Mean","Survival","Traditional","Cultural_Map","WGI_Voice_Accountability_Poly2"
"1","Denmark",1.5451831817627,57161.68639,59775.7351,1.143475511,5.019999981,88,0.407910628019324,2.6905193236715,2.91770021735237,1.05985087354592,"Protestant Europe",2.3875910652023
"2","New Zealand",1.53523802757263,43110.37124,42865.23364,2.634295771,4.110000134,87,0.539245667686035,2.44852191641182,2.88366034439035,0.574138433895691,"English Speaking",2.3569558013051
"3","Finland",1.56485080718994,48582.58759,48628.64176,1.590699038,6.690000057,85,0.452846219201359,2.62871707731521,2.47820688510642,0.832431393401895,"Protestant Europe",2.44875804876301
"4","Singapore",-0.205995976924896,98283.30891,65831.18943,0.206741745,3.099999905,85,0.81850175967823,1.99095022624434,-0.0969326485093468,0.0997583417825839,"West & Soutn Asia",0.0424343425092423
"5","Sweden",1.56092047691345,52850.56918,51939.42974,1.105975245,6.829999924,85,0.539122957867584,2.50386930352537,3.14431030424798,1.1486319853308,"Protestant Europe",2.43647273524771
"6","Switzerland",1.49699628353119,70944.35481,85334.51946,0.535421571,4.389999866,85,0.686230248306998,2.26152853918091,2.37860134129194,0.711944371321392,"Protestant Europe",2.2409978729062
"7","Norway",1.6552220582962,64385.00599,75719.7529,0.520556497,3.690000057,84,0.617805755395683,2.36510791366906,3.06401710093411,0.966869363352021,"Protestant Europe",2.73976006227031
"8","Netherlands",1.48540389537811,56784.03725,52476.27325,0.637534163,3.380000114,82,0.409660938225732,2.69902461681375,2.52604457229682,0.73534525089622,"Protestant Europe",2.20642473240446
"9","Canada",1.43186473846436,49171.51109,46328.67184,1.836356425,5.659999847,81,0.482827277252364,2.58685913389746,2.08279139179047,0.830321428533261,"English Speaking",2.05023662925761
"10","Germany",1.35554444789886,53929.63929,46794.89929,0.745955502,3.140000105,80,0.402421852999155,2.7048718670797,2.18525586556069,0.923197130890601,"Protestant Europe",1.83750075022943
"11","United Kingdom",1.26135551929474,47368.58441,43070.49836,NA,3.74000001,80,0.296108291032149,2.8556119571348,2.36005789212462,0.43605080357307,"English Speaking",1.5910177460553
"12","Australia",1.26739799976349,49309.1124,54875.28596,0.892743779,5.159999847,77,0.312917594654788,2.8173719376392,2.28781109326011,0.586129434870329,"English Speaking",1.6062976898045
"13","Austria",1.33874893188477,55833.5599,50114.40111,0.85984446,4.489999771,76,0.401634192331867,2.71087366436204,1.97066420958111,0.649355381549412,"Catholic Europe",1.79224870262261
"14","Hong Kong SAR",0.126975581049919,59588.50493,48356.0635,0.322747355,2.930000067,76,0.522957950700822,2.50024166263896,-0.0425191999182529,1.4737646117618,"Confucian",0.0161227981829645
"15","Iceland",1.30392909049988,56935.77273,68941.46223,0.294953058,3.50999999,76,0.328301886792453,2.84842767295597,2.93912272582317,0.543939759506091,"Protestant Europe",1.70023107305184
"16","Estonia",1.18105804920197,36401.10885,23397.87826,1.734999234,4.449999809,73,0.451827242524917,2.60797342192691,0.723258640969746,0.917347751071094,"Catholic Europe",1.39489811558476
"17","Japan",0.931311726570129,41697.41194,40458.00188,0.251457708,2.400000095,73,0.433628318584071,2.64119066773934,1.32802723030535,1.64127852232888,"Confucian",0.867341532047035
"18","France",1.1164003610611,46017.76596,40578.64429,1.321976902,8.409999847,72,0.324339207048458,2.96971365638767,1.9251499926597,0.498155155891779,"Catholic Europe",1.24634976617735
"19","United States",0.903775811195374,62458.75335,65094.79943,5.065565832,3.670000076,71,0.310197751066305,2.92361380379992,1.43291159566891,0.169054601511377,"English Speaking",0.816810716901856
"20","Chile",0.983122289180756,24931.12188,14699.46278,3.962635147,7.289999962,67,0.377416073245168,2.81586978636826,-0.0841498903512858,0.222814805038947,"Latin America",0.96652943548401
"21","Portugal",1.19642508029938,34945.66134,23330.81729,0.870315381,6.460000038,64,0.376053962900506,2.84907251264755,0.359229500027436,-0.254066241617607,"Catholic Europe",1.43143297276938
"22","Poland",0.673151612281799,33185.15813,15732.20313,0.667761637,3.279999971,60,0.262128325508607,3.0226917057903,0.633024990085518,-0.38,"Catholic Europe",0.453133093117585
"23","Slovenia",0.978998601436615,38946.68538,25942.95477,0.481080545,4.449999809,60,0.155534351145038,3.10400763358779,1.25434734577704,0.80127842181606,"Catholic Europe",0.958438261614848
"24","Cyprus",1.04857850074768,41521.92188,29206.07617,1.251487184,7.070000172,59,0.393717277486911,2.70890052356021,-0.466199378667164,-0.409390785041808,"Orthodox Europe",1.09951687223025
"25","Czech Republic",0.835772931575775,40981.05651,23660.14881,0.907456891,2.00999999,59,0.182608695652174,3.1031884057971,1.01022482051646,1.20231580386497,"Catholic Europe",0.698516393154765
"26","Lithuania",0.996342778205872,37166.21008,19575.76848,3.406252503,6.260000229,59,0.426362297496318,2.66347569955817,-0.170828337428401,0.87677229403083,"Catholic Europe",0.992698931682996
"27","Georgia",0.168719828128815,14989.25816,4696.150586,1.92655955,11.56999969,58,0.375813953488372,2.81209302325581,-0.790070841382932,-1.01516958786849,"Orthodox Europe",0.0284663804038169
"28","Latvia",0.857121706008911,31012.1351,17926.84159,3.933415148,6.309999943,58,0.306264501160093,2.93812838360402,-0.0436827058976323,0.852598431047078,"Catholic Europe",0.734657618911626
"29","Spain",1.03772735595703,40802.48774,29554.49052,0.712500916,14.10000038,58,0.228571428571429,3.11932773109244,1.45896213774829,0.613056245389826,"Catholic Europe",1.07687806530157
"30","Korea, Rep.",0.751461744308472,42758.59037,31902.4169,0.579791389,3.75,57,0.513253012048193,2.52289156626506,-0.461045507352043,1.46808503000815,"Confucian",0.564694753159131
"31","Italy",0.906614542007446,42746.29575,33673.47545,0.523533474,9.949999809,52,0.242465137201979,2.99460188933873,0.826968826828921,0.366046237968612,"Catholic Europe",0.821949927779371
"32","Slovak Rep",0.862816572189331,31927.59383,19303.54566,1.392703553,5.75,50,0.327402135231317,2.85622775800712,0.57859239545128,0.607434353052982,"Catholic Europe",0.744452437244547
"33","Jordan",-0.694556832313538,10071.37989,4405.487109,1.138422584,16.80999947,49,0.425219941348974,2.81036168132942,-1.17874919869771,-1.58187039451597,"African-Islamic",0.482409193313416
"34","Croatia",0.45530304312706,29336.08545,15311.7669,0.798973634,6.619999886,48,0.0874392782789729,3.39347675225538,0.102944255501097,0.109555312819061,"Catholic Europe",0.207300861080761
"35","Malaysia",-0.0489955544471741,28421.46248,11432.82603,NA,3.25999999,47,0.501524390243902,2.51753048780488,-0.358618388596042,0.0625570178093159,"West & Soutn Asia",0.002400564355586
"36","Romania",0.51631110906601,29875.06277,12899.34611,1.260033924,3.910000086,47,0.199488491048593,3.19108512970406,-0.777223825911598,-0.384684696244687,"Orthodox Europe",0.266577161344973
"37","Hungary",0.343969166278839,32553.69447,16735.65978,0.660837529,3.420000076,46,0.390946502057613,2.79698216735254,0.0434588230177065,0.606277387764948,"Catholic Europe",0.11831478735056
"38","Greece",0.812374591827393,29698.03048,19133.75776,0.74474013,17.30999947,45,0.133784928027096,3.346316680779,-0.254086889775155,0.274094494927912,"Orthodox Europe",0.659952477446723
"39","Montenegro",0.0247833598405123,21533.93209,8909.890151,3.662490366,15.11999989,45,0.372899159663866,2.78991596638655,0.0046304609098005,-0.421206655876227,"Orthodox Europe",0.000614214924984318
"40","Belarus",-1.4079213142395,19279.20925,6837.717826,2.380345582,4.159999847,44,0.560573476702509,2.45878136200717,-0.305037068920338,0.30432590110658,"Orthodox Europe",1.98224242708988
