shortnam,name,yr.col,colonizer,continent,inst.age.1817,inst.age.1900,currentinst,s.america,mortality,imputedmort,logem4,extmort4,excolony,logpgp12,lat_abst,avexpr,avelf,logpgp95,loghjypl,catho80,muslim80,no_cpm80,edes1975,malfal94,leb95,imr95,meantemp,lt100km,latabs,euro1900,democ1,cons1,indtime,democ00a,cons00a,africa,asia,other,f_brit,f_french,rich4,sjlofr,baseco,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,landlock,goldm,iron,silv,zinc,oilres,yellow,idep,post1900
AFG,Afganistan,,,Asia,,,,0,,93.7,4.540098,,,,0.3666667,,0.4484412,,,0,99.3,0.6999969,0,0.00372,,,,,,0,1,1,195,1,1,0,1,0,1,0,0,1,,10,14,40,-21,11,51,80,22,70,1,1,0,0,0,0,1,0,0,0,0,0,0,1919,1
AGO,Angola,1483,Portugal,Africa,334,417,172,0,280,280,5.634789,280,1,8.716929,0.1366667,5.363636,0.772755,7.770645,-3.411248,68.7,0,11.5,0,0.95,46.49,125,22.94133,0.118758,0.136667,8,0,3,20,0,1,1,0,0,0,0,0,1,1,26,28,37,14,21,77,84,74,78,1,1,0,0,0,0,0,0,0,0,0,146000,1,1975,1
ARE,United Arab Emirates,1507,Portugal,Asia,310,393,26,0,,,,,1,10.647324,0.2666667,7.181818,,9.804219,,0.4,94.9,4.399999,0,0.0123,,,,,,0,,,,,,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,0,1971,1
ARG,Argentina,1512,Spain,South America,305,388,124,1,68.9,68.9,4.232656,68.9,1,,0.3777778,6.386364,0.1769318,9.133459,-0.8722738,91.6,0.2,5.500001,90,0,72.89,21.8,17.1,0.123089,0.377778,60,1,1,170,3,3,0,0,0,0,0,0,1,1,17,25,40,-6,6,81,92,60,79,1,0,0,1,0,0,0,0,0,0,0,46900,0,1816,0
ARM,Armenia,,,Asia,,,32,0,,,,,,8.801652,0.4444444,,,7.682482,,0,0,100,0,0,,,,,,0,,,,,,0,1,0,0,0,0,0,,8,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,0,0,0,0,0,0,0,1991,1
AUS,Australia,1788,England,Other,29,112,10,0,8.55,8.55,2.145931,8.55,1,10.705441,0.3,9.318182,0.1127971,9.897972,-0.1707883,29.6,0.2,46.7,99,0,78.25,5.6,20.9,0.198958,0.3,98,10,7,94,10,7,0,0,1,1,0,1,0,1,17,18,43,-10,3,56,85,35,64,1,1,0,0,0,0,0,3,16,9,12,99100,1,1901,1
AUT,Austria,,,Other,,,29,0,,,,,0,10.696655,0.5244445,9.727273,0.0332123,9.974877,-0.3438998,88.8,0.6,4.099997,100,0,,,,,,100,,,,,,0,0,0,0,0,0,0,,8,13,38,-23,9,72,86,49,76,0,0,0,0,0,0,1,0,0,0,0,11900,0,1918,1
AZE,Azerbaijan,,,Asia,,,67,0,,,,,,9.270861,0.4477778,,,7.306531,,0,93.4,6.599998,0,0,,,,,,0,,,,,,0,1,0,0,0,0,0,,14,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,1,0,0,0,0,177000,0,1991,1
BDI,Burundi,,,Africa,,,159,0,,280,5.634789,,,6.328423,0.0366667,,0.0133333,6.565265,-3.506558,78.3,0.9,15.9,0,0.95,,,,,,0,3,5,34,0,1,1,0,0,0,0,0,1,,24,28,31,17,20,55,82,55,82,0,0,0,0,0,0,0,0,0,0,0,0,1,1962,1
BEL,Belgium,,,Other,,,33,0,,,,,0,10.591328,0.5611111,9.681818,0.3638344,9.992871,-0.1791266,90,1.1,8.5,100,0,,,,,,100,,,,,,0,0,0,0,0,0,1,,10,13,37,-17,6,87,94,65,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,0
BEN,Benin,,,Africa,,,175,0,,266.52,5.585449,,,7.366976,0.1033333,,0.6831192,7.090077,-2.830218,18.5,15.2,63.5,0,0.95,,,,,,0,4,3,35,0,1,1,0,0,0,1,0,1,,27,31,35,18,22,83,91,68,78,1,0,0,0,0,0,0,0,0,0,0,3930,1,1960,1
