respondent,Who,How,model1,,"Who, shows a concrete understanding of group information"
1,0,0,0,,"Who? (Name a group, or strongly allude to one group)"
2,0,0,0,,"How? (Their feeling/How should I feel (conjecture or unnecessary opinion, not related to the theory itself))"
3,0,0,0,,"levels could be 0,1,2 or something like 00,10,11,01"
4,0,0,0,,"level order should be recoded to 0,-1,2,3"
5,0,1,1,,How - trying to transmit group information
6,0,0,0,,
7,1,1,2,,
8,0,0,0,,
9,0,0,0,,
10,1,1,2,,
11,1,1,2,,
12,0,1,1,,
13,0,1,1,,
14,1,1,2,,
15,1,1,2,,
16,0,0,0,,
17,0,1,1,,
18,0,0,0,,
19,0,0,0,,
20,0,1,1,,
21,0,1,1,,
22,1,1,2,,
23,1,0,1,,
24,0,1,1,,
25,0,0,0,,
26,0,1,1,,
27,0,1,1,,
28,1,0,1,,
29,1,1,2,,
30,0,0,0,,
31,0,1,1,,
32,0,0,0,,
33,1,1,2,,
34,1,1,2,,
35,1,1,2,,
36,1,0,1,,
37,0,0,0,,
38,1,1,2,,
39,0,0,0,,
40,1,1,2,,
41,1,1,2,,
42,1,0,1,,
43,0,0,0,,
44,0,0,0,,
45,1,0,1,,
46,0,0,0,,
47,0,0,0,,
48,0,1,1,,
49,0,0,0,,
50,0,1,1,,
51,1,1,2,,
52,0,0,0,,
53,1,1,2,,
54,0,0,0,,
55,0,1,1,,
56,0,0,0,,
57,0,0,0,,
58,0,1,1,,
59,0,1,1,,
60,0,0,0,,
61,0,1,1,,
62,0,0,0,,
63,1,1,2,,
64,0,0,0,,
65,0,1,1,,
66,0,0,0,,
67,0,0,0,,
68,1,1,2,,
69,0,0,0,,
70,0,1,1,,
71,0,0,0,,
72,0,0,0,,
73,0,1,1,,
74,1,0,1,,
75,0,0,0,,
76,1,1,2,,
77,0,0,0,,
78,1,1,2,,
79,0,0,0,,
80,1,1,2,,
81,0,1,1,,
82,1,1,2,,
83,1,0,1,,
84,0,1,1,,
85,0,1,1,,
86,1,0,1,,
87,1,1,2,,
88,0,1,1,,
89,0,0,0,,
90,0,0,0,,
